name,id,x,y,z,qx,qy,qz,qw
00,1,0.2692365144259802,0.13778195598534193,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
01,2,0.2692365144259802,0.17878195598534194,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
02,3,0.2692365144259802,0.21978195598534195,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
03,4,0.2692365144259802,0.26078195598534193,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
04,5,0.2692365144259802,0.30178195598534197,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
10,6,0.31023651442598016,0.13778195598534193,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
11,7,0.31023651442598016,0.17878195598534194,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
12,8,0.31023651442598016,0.21978195598534195,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
13,9,0.31023651442598016,0.26078195598534193,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
14,10,0.31023651442598016,0.30178195598534197,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
20,11,0.3512365144259802,0.13778195598534193,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
21,12,0.3512365144259802,0.17878195598534194,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
22,13,0.3512365144259802,0.21978195598534195,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
23,14,0.3512365144259802,0.26078195598534193,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
24,15,0.3512365144259802,0.30178195598534197,0.29153096159167835,0.9994530520090062,-0.03125813137423962,-0.010780353194329647,0.0005568104515479952
