name,id,x,y,z,qx,qy,qz,qw
BODY_PICK_ZONE,1,0.29433,0.16261,0.29153,0.99943,-0.03112,-0.01253,0.00374
BODY_CELL_ZONE,2,0.12408,0.45449,0.22,0.99936,-0.03264,-0.00638,0.01296
SENSOR_PICK_ZONE,3,-0.00599,0.32617,0.26798,0.99935,-0.02635,-0.01462,0.01975
MID_PICK_ZONE,4,0.29396,0.36535,0.26798,0.99940,-0.03130,-0.01359,0.00532
WIRE5_PICK_ZONE,5,0.12785,0.31736,0.20338,0.99935,-0.03500,-0.00292,0.00755
RESIST_PICK_ZONE,6, 0.12713,0.22995,0.16826,0.99942,-0.033192,-0.00204,0.0076

body_storage_00,100,0.27113,0.13855,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_01,101,0.26924,0.17878,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_02,102,0.26924,0.21978,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_03,103,0.26924,0.26078,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_04,104,0.26924,0.30178,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_10,110,0.31024,0.13778,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_11,111,0.31024,0.17878,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_12,112,0.31024,0.21978,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_13,113,0.31024,0.26078,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_14,114,0.31024,0.30178,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_20,120,0.35124,0.13778,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_21,121,0.35124,0.17878,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_22,122,0.35124,0.21978,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_23,123,0.35124,0.26078,0.29153,0.99945,-0.03126,-0.01078,0.00056
body_storage_24,124,0.35124,0.30178,0.29153,0.99945,-0.03126,-0.01078,0.00056

sensor_storage_00,200,-0.04302,0.31153,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_01,201,-0.04302,0.34453,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_02,202,-0.04302,0.37753,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_03,203,-0.04302,0.41053,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_04,204,-0.04302,0.44353,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_10,210,-0.01002,0.31153,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_11,211,-0.01002,0.34453,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_12,212,-0.01002,0.37753,0.26798,0.99915,-0.03736,-0.00966,0.01472
sensor_storage_13,213,-0.01002,0.41053,0.26798,0.99915,-0.03736,-0.00966,0.01472
